objid,ra,dec,u,g,r,i,z,redshift
1237648702972690541,197.654572910749,-1.16293226803117,18.42792,17.16193,16.68961,16.53239,16.4568,-2.238776E-05
1237648702972690555,197.55511154253,-1.19358326036406,19.83481,18.06367,17.169,16.76156,16.46476,0.08503111
1237648702972690555,197.55511154253,-1.19358326036406,19.83481,18.06367,17.169,16.76156,16.46476,0.08505128
1237648702972690556,197.572084015286,-1.23479979829645,20.71436,19.80129,19.60905,19.53082,19.56621,0.0006610129
1237648702972690567,197.585544192683,-1.20002973019252,19.47341,17.39454,16.41801,16.01307,15.76206,0.000419298
1237648702972690567,197.585544192683,-1.20002973019252,19.47341,17.39454,16.41801,16.01307,15.76206,0.0003819292
1237648702972690576,197.589861774172,-1.11053202066104,19.78388,18.50239,17.65945,17.17431,16.85734,0.1855726
1237648702972690576,197.589861774172,-1.11053202066104,19.78388,18.50239,17.65945,17.17431,16.85734,0.1856458
1237648702972690583,197.608035948624,-1.21677480338823,20.60587,18.65974,17.56548,17.11431,16.73814,0.1367642
1237648702972690583,197.608035948624,-1.21677480338823,20.60587,18.65974,17.56548,17.11431,16.73814,0.1366601
1237648702972690607,197.661677254629,-1.06802492106388,20.07714,18.40959,17.76102,17.51729,17.41788,0.0002745362
1237648702972690607,197.661677254629,-1.06802492106388,20.07714,18.40959,17.76102,17.51729,17.41788,0.0002539769
1237648702972690608,197.663079753551,-1.10978769074956,19.38302,18.31566,17.71927,17.34785,17.14929,0.118573
1237648702972690608,197.663079753551,-1.10978769074956,19.38302,18.31566,17.71927,17.34785,17.14929,0.1185975
1237648702972690612,197.666273288292,-1.12642145323414,19.96317,17.41812,16.41771,15.99785,15.76099,0.0001081479
1237648702972690612,197.666273288292,-1.12642145323414,19.96317,17.41812,16.41771,15.99785,15.76099,0.0001005417
1237648702972690616,197.670902263209,-1.24936436001795,18.98242,17.70605,16.9146,16.47284,16.1665,0.1408633
1237648702972690616,197.670902263209,-1.24936436001795,18.98242,17.70605,16.9146,16.47284,16.1665,0.1409405
1237648702972690616,197.670902263209,-1.24936436001795,18.98242,17.70605,16.9146,16.47284,16.1665,0.1407834
1237648702972690616,197.670902263209,-1.24936436001795,18.98242,17.70605,16.9146,16.47284,16.1665,0.1410411
1237648702972690624,197.682453054021,-1.1364092458697,20.71472,18.78972,17.69306,17.21485,16.84124,0.1372094
1237648702972690624,197.682453054021,-1.1364092458697,20.71472,18.78972,17.69306,17.21485,16.84124,0.1372757
1237648702972690659,197.629870629401,-1.22529796929836,21.27062,19.89414,19.34015,19.11329,18.99796,-0.000103012
1237648702972690681,197.677802577312,-1.22817322214863,22.15346,20.09577,19.22597,18.88787,18.5936,3.272694E-05
1237648702972690747,197.599636989772,-1.11518001914438,21.55103,20.90965,20.69663,20.63255,20.21943,2.5088
1237648702972690973,197.616273215796,-1.14551491205829,25.54012,21.98265,20.12934,19.20802,18.72503,0.5286931
1237648702972691261,197.640658286116,-1.09634441263581,23.86411,22.29754,20.65447,19.65278,19.20993,0.5286006
1237648702972755991,197.732897489799,-1.21812761145558,18.53201,16.7881,16.07663,15.7843,15.63528,0.0001069245
1237648702972755991,197.732897489799,-1.21812761145558,18.53201,16.7881,16.07663,15.7843,15.63528,6.544802E-05
1237648702972756002,197.745475295549,-1.06846097389353,17.97117,16.97797,16.66794,16.54016,16.53341,-2.571846E-06
1237648702972756002,197.745475295549,-1.06846097389353,17.97117,16.97797,16.66794,16.54016,16.53341,-0.0001130946
1237648702972756003,197.746875055134,-1.0679898493792,22.1828,20.2817,18.63662,18.02476,17.66446,0.2963947
1237648702972756003,197.746875055134,-1.0679898493792,22.1828,20.2817,18.63662,18.02476,17.66446,0.2963246
1237648702972756030,197.789656007788,-1.10489845375705,16.96837,15.52211,15.01767,14.81456,14.73005,2.08643E-05
1237648702972756064,197.708447077078,-1.12384130553887,19.93109,19.07762,18.78415,18.68192,18.59698,0.0004110324
